Kommun,n_observations,balanced_accuracy,macro_f1,weighted_f1,accuracy,f1_NN,precision_NN,recall_NN,f1_NV,precision_NV,recall_NV,f1_VN,precision_VN,recall_VN,f1_VV,precision_VV,recall_VV,n_NN,n_NV,n_VN,n_VV
0114,9581,0.3995135908581514,0.33075516449145126,0.5105655065007898,0.43680200396618307,0.4257987458942968,0.3469586374695864,0.5510046367851623,0.12309773419005748,0.07483552631578948,0.3466666666666667,0.1727475800446761,0.1309255079006772,0.2538293216630197,0.6013765978367748,0.9205298013245033,0.446553738317757,1294,525,914,6848
0115,6878,0.419865649726119,0.3622166872231679,0.7009742707710499,0.6365222448386159,0.35721107927411655,0.33754512635379064,0.3793103448275862,0.12135176651305683,0.0743879472693032,0.32916666666666666,0.17429193899782136,0.1284796573875803,0.2708803611738149,0.7960119641076769,0.922365988909427,0.7001052262364083,493,240,443,5702
0117,8544,0.4447817179527497,0.3617186513794294,0.6722077861269077,0.6107209737827716,0.3998272884283247,0.2877563704164077,0.6548797736916548,0.11311672683513839,0.07030665669409125,0.28923076923076924,0.16455696202531644,0.15384615384615385,0.17687074829931973,0.7693736282289381,0.9258431531897603,0.6581455805892548,707,325,588,6924
0120,9402,0.42425731856734294,0.3496600248436595,0.6708944970205135,0.5982769623484365,0.371224601867106,0.2908777969018933,0.5128983308042488,0.11367673179396093,0.06768905341089371,0.3545706371191136,0.1467425679949399,0.1254054054054054,0.17682926829268292,0.7669961977186311,0.9297566371681416,0.6527310380533264,659,361,656,7726
0123,16287,0.39543162297958157,0.3390525677115235,0.5699072754989878,0.49689936759378645,0.4035608308605341,0.3198494825964252,0.5466237942122186,0.09398840402807446,0.06192199437072778,0.1949367088607595,0.18280402788536018,0.13013509787703337,0.30709173715029275,0.675857008072125,0.9231099656357389,0.5330742516950554,1866,790,1537,12094
0125,5717,0.449320904669692,0.368628713006001,0.7397456982723014,0.6786776281266399,0.3897316219369895,0.3030852994555354,0.545751633986928,0.11477151965993623,0.06985769728331177,0.32142857142857145,0.14596949891067537,0.1157167530224525,0.1976401179941003,0.8240422115164029,0.9417933927635029,0.732463295269168,306,168,339,4904
0126,22508,0.4350400434694701,0.3662012331713431,0.6008968648342383,0.5464279367336058,0.460192286918008,0.33750594200602124,0.7230142566191446,0.12357925191155197,0.08098591549295775,0.26068003487358327,0.16840607210626185,0.16114389468906037,0.17635370094386488,0.7126273217495507,0.9236070665890118,0.5801121814412876,2946,1147,2013,16402
0127,18040,0.3868560594797752,0.3174704192650087,0.42075123348488086,0.38597560975609757,0.47885107220145584,0.3561082662765179,0.730711498048634,0.11828895678742907,0.08039157520023732,0.22378199834847234,0.19369973190348524,0.15146750524109015,0.26858736059479554,0.47904191616766467,0.9158785465405674,0.324343380927199,3331,1211,2152,11346
0128,3397,0.42968381179680054,0.3373860932898065,0.6105602905727444,0.5366499852811304,0.33365477338476374,0.23097463284379172,0.6006944444444444,0.12413793103448276,0.08314087759815242,0.24489795918367346,0.18673218673218672,0.13427561837455831,0.3064516129032258,0.7050194820077929,0.9326864766525167,0.5666912306558585,288,147,248,2714
0136,18586,0.4214916195730176,0.36069072547257075,0.5733198060487117,0.5178091036263854,0.479137244832456,0.36409756097560975,0.7004504504504504,0.10055521283158544,0.06921443736730361,0.18376550169109357,0.18645731108930325,0.14420157862780814,0.2637423653525819,0.6766131331369382,0.9114183307731695,0.5380081607979447,2664,887,1801,13234
0138,9884,0.4407577823336849,0.3648825447509445,0.665821547512058,0.5952043707001214,0.3994053518334985,0.3200953137410643,0.530961791831357,0.11473272490221642,0.07333333333333333,0.2634730538922156,0.18646616541353384,0.13018372703412073,0.32847682119205296,0.7589259368545294,0.9318840579710145,0.640119462419114,759,334,755,8036
0139,5902,0.411600218292856,0.33587460016239223,0.5800172392847848,0.5162656726533379,0.37934105075690117,0.27237851662404094,0.624633431085044,0.1345480028030834,0.08465608465608465,0.32764505119453924,0.13559322033898305,0.13457943925233645,0.1366223908918406,0.6940161267506012,0.9190708130385913,0.5575,682,293,527,4400
0140,2197,0.43040178059589485,0.33607362176744493,0.6739518414137876,0.5989986345015931,0.313953488372093,0.2727272727272727,0.3698630136986301,0.14968152866242038,0.08608058608058608,0.573170731707317,0.11295681063122924,0.10303030303030303,0.125,0.7677026594040371,0.9301242236024845,0.6535733769776323,146,82,136,1833
0160,13949,0.4552502219410143,0.37528058644412166,0.7376182429622524,0.6815542332783712,0.38332058148431525,0.2864493996569468,0.5791907514450867,0.10508083140877598,0.06701030927835051,0.24331550802139038,0.1875248311481923,0.14540973505853358,0.2639821029082774,0.8251961017352032,0.9414253172795314,0.7345125253893027,865,374,894,11816
0162,6733,0.4310863267056364,0.3704529722558698,0.7586266513610074,0.7026585474528442,0.3462603878116344,0.3306878306878307,0.3633720930232558,0.12903225806451613,0.08520179372197309,0.26573426573426573,0.1689059500959693,0.11262798634812286,0.3375959079283887,0.8376132930513596,0.9364576736331012,0.7576430401366353,344,143,391,5855
0163,14660,0.4234318581609626,0.36940146267250534,0.6767327915964473,0.6152114597544338,0.39399191218948587,0.3238366571699905,0.5029498525073747,0.12407809110629067,0.08451536643026004,0.233278955954323,0.1735370423753243,0.12625838926174496,0.27741935483870966,0.7859988050189205,0.9309978768577495,0.6800792693434431,1356,613,1085,11606
0180,208293,0.43834420620287556,0.3725930619123681,0.6624031455856169,0.6035152405505706,0.4309774537599568,0.32588943902812517,0.6360964431603069,0.11114399005740665,0.07467196819085486,0.21726052753354927,0.17830596180410901,0.14082848434469383,0.24296384822228861,0.769944842028,0.9296718192007924,0.6570560058953574,20074,8644,16735,162840
0181,19856,0.3835889393160171,0.31589439806471886,0.43745168301471166,0.4017929089443997,0.4941637556445429,0.37443511943189156,0.7264529058116233,0.14153258794655033,0.08840061318344404,0.3547505126452495,0.11674008810572688,0.1447098976109215,0.09783110290724505,0.5111411605620554,0.9103664921465968,0.35532123589995096,3992,1463,2167,12234
0182,21286,0.422982707612816,0.36512359575452114,0.7003930828817843,0.6395283284788124,0.39732441471571905,0.3104529616724739,0.551702786377709,0.08698474521259332,0.05733846812152332,0.18010752688172044,0.17429004985909385,0.13141549525988885,0.25868725868725867,0.8018951732306782,0.9359447004608294,0.701433258504576,1615,744,1554,17373
0183,9937,0.41175274309285137,0.34863618222261916,0.576195426983081,0.50155982690953,0.41570751523358157,0.34301675977653634,0.5274914089347079,0.1271551724137931,0.07776801405975395,0.3484251968503937,0.16896831844029245,0.13367609254498714,0.22958057395143489,0.6827137228028096,0.9235225955967555,0.5415137926348689,1164,508,906,7359
0184,17511,0.4286279288945286,0.3627092892278277,0.6255584106134434,0.5543943806750042,0.4164627363737486,0.3458980044345898,0.5231973169368362,0.12466367713004484,0.07537960954446854,0.3601036269430052,0.17819148936170212,0.14744718309859156,0.22513440860215053,0.7315192540458152,0.9224420576596948,0.6060763630961225,1789,772,1488,13462
0186,10034,0.43744553286919496,0.35756869956696247,0.7080439292617443,0.6378313733306757,0.37593123209169055,0.3000914913083257,0.5030674846625767,0.10447011551983927,0.06103286384976526,0.3623693379790941,0.15020219526285383,0.12404580152671756,0.1903367496339678,0.7996712553934662,0.9432864760058167,0.6940085592011412,652,287,683,8412
0187,2455,0.375038965507168,0.3174993235324652,0.6905023018870494,0.6077393075356415,0.2597402597402597,0.24793388429752067,0.2727272727272727,0.06074766355140187,0.03504043126684636,0.22807017543859648,0.17981072555205047,0.12179487179487179,0.3433734939759036,0.7696986452861487,0.9311036789297659,0.6559849198868991,110,57,166,2122
0188,13858,0.4199230592908768,0.3373916614584216,0.6121769214772859,0.540914994948766,0.3574533367425211,0.2705108359133127,0.5267520723436323,0.13423645320197045,0.08140403286034353,0.3824561403508772,0.14660493827160495,0.1207115628970775,0.18664047151277013,0.7112719176175898,0.9098547422386785,0.5838435529562277,1327,570,1018,10943
0191,9748,0.40872703131066773,0.3414443235151928,0.5318404367167726,0.4777390233894132,0.44973309608540923,0.3299608355091384,0.7060055865921788,0.13145191236539175,0.08477011494252873,0.29256198347107437,0.14443858724301528,0.1460554371002132,0.14285714285714285,0.6401536983669549,0.910880262438491,0.4934834123222749,1432,605,959,6752
0192,6061,0.41082929702550125,0.3508061630523672,0.5960396316587313,0.5205411648242865,0.41751269035532995,0.3647450110864745,0.48813056379821956,0.11790714812085483,0.07407407407407407,0.2888086642599278,0.17259475218658893,0.12042310821806347,0.3045267489711934,0.6952100615466952,0.911578947368421,0.5618512110726643,674,277,486,4624
0305,4497,0.3987237305437132,0.3071640957664128,0.5854575470443554,0.49544140538136533,0.3010752688172043,0.2222222222222222,0.4666666666666667,0.10962566844919786,0.062452399086062454,0.44808743169398907,0.14076246334310852,0.13370473537604458,0.14860681114551083,0.6771929824561403,0.9328177863702272,0.5315340126686863,360,183,323,3631
0319,2063,0.37107928469336204,0.29708360525881955,0.5478813938556145,0.47309743092583617,0.2198581560283688,0.36046511627906974,0.15816326530612246,0.08945686900958466,0.06167400881057269,0.16279069767441862,0.23069403714565004,0.13997627520759193,0.6555555555555556,0.6483253588516746,0.896361631753032,0.5078076202373517,196,86,180,1601
0330,3863,0.4346343157140197,0.34982962864762457,0.6965195180793455,0.6197256018638364,0.3356401384083045,0.28034682080924855,0.41810344827586204,0.12644889357218125,0.0736196319018405,0.44776119402985076,0.15284552845528454,0.12303664921465969,0.2017167381974249,0.7843839541547278,0.9439655172413793,0.6709558823529411,232,134,233,3264
0331,3071,0.38751186263871984,0.3297443092162261,0.5934666852479472,0.5180722891566265,0.3314917127071823,0.273972602739726,0.4195804195804196,0.11981566820276497,0.07252440725244072,0.3443708609271523,0.16566265060240964,0.13613861386138615,0.21153846153846154,0.7020072053525476,0.9021164021164021,0.5745577085088458,286,151,260,2374
0360,4650,0.4161985695262233,0.3241132519901431,0.5705142624181764,0.4834408602150538,0.33131313131313134,0.2701812191103789,0.4281984334203655,0.12753623188405797,0.07451312447078746,0.44221105527638194,0.17803660565723795,0.13001215066828675,0.28232189973614774,0.6595670391061452,0.9264345267287887,0.5120628896719979,383,199,379,3689
0380,48467,0.42879878972971375,0.36542198380568935,0.692363013458511,0.6341840840159284,0.36479908370716807,0.278693306110544,0.5279005524861878,0.11703958691910499,0.07800917755030004,0.23423423423423423,0.1843364904776454,0.14399363564041368,0.2560837577815506,0.7955127741188391,0.926497858997269,0.6969766144168823,3620,1887,3534,39426
0381,9530,0.40642888569124924,0.3348200917785005,0.597016031495975,0.5200419727177334,0.31807674526121127,0.26584234930448225,0.3958573072497123,0.15071659731853906,0.09476744186046511,0.36794582392776526,0.17002237136465326,0.11943425877422735,0.2949547218628719,0.7004646531695984,0.9162144562622097,0.5669576897246474,869,443,773,7445
0382,4954,0.4174777198238106,0.32521879643217066,0.5795517750076736,0.49838514331853045,0.3093465674110835,0.2438070404172099,0.4230769230769231,0.13733333333333334,0.08015564202334631,0.4790697674418605,0.18054162487462388,0.14705882352941177,0.23376623376623376,0.673653660109642,0.9122270742358078,0.533997955010225,442,215,385,3912
0428,1723,0.3953997307919528,0.33169085956045374,0.6555146341149214,0.5937318630295996,0.27705627705627706,0.19753086419753085,0.463768115942029,0.14860681114551083,0.09836065573770492,0.3037974683544304,0.13533834586466165,0.12080536912751678,0.15384615384615385,0.7657620041753653,0.911530815109344,0.660187185025198,138,79,117,1389
0461,2463,0.367175145237177,0.3089310421410367,0.6119648444607386,0.5290296386520503,0.30490018148820325,0.23796033994334279,0.42424242424242425,0.09363295880149813,0.05827505827505827,0.23809523809523808,0.12802768166089964,0.0891566265060241,0.22699386503067484,0.7091633466135459,0.9139020537124802,0.5793690535803706,198,105,163,1997
0480,11898,0.42261738374352475,0.34958392397983024,0.6580838059141676,0.5872415532022188,0.30097087378640774,0.2607232968881413,0.3559127439724455,0.13995117982099267,0.08634538152610442,0.36909871244635195,0.20049243756595145,0.14540816326530612,0.32276330690826727,0.756921204745969,0.9205268610330029,0.6426947716470345,871,466,883,9678
0481,1990,0.3906457587674723,0.3280312108143796,0.5041230748153985,0.43417085427135677,0.37906137184115524,0.3387096774193548,0.430327868852459,0.11455847255369929,0.07643312101910828,0.22857142857142856,0.22325581395348837,0.1476923076923077,0.45714285714285713,0.5952491849091756,0.8924581005586593,0.44654088050314467,244,105,210,1431
0482,3442,0.38188234567691076,0.33685621468497096,0.6071507777181483,0.5505520046484602,0.34242709313264347,0.25962910128388017,0.5027624309392266,0.10576923076923077,0.08979591836734693,0.1286549707602339,0.1715438950554995,0.12372634643377002,0.27960526315789475,0.7276846397825102,0.8877833056937534,0.6165067178502879,362,171,304,2605
0483,7142,0.4316613337157176,0.35706152036862765,0.6246130475013372,0.5550266031923831,0.33773087071240104,0.2945914844649022,0.3956723338485317,0.15577889447236182,0.09314903846153846,0.4754601226993865,0.20146764509673115,0.17257142857142857,0.2419871794871795,0.7332686711930165,0.9110873058382432,0.6135256988277727,647,326,624,5545
0484,22340,0.413807002391609,0.343672058633402,0.5618699426901275,0.4915846016114593,0.3896276595744681,0.3006361584239688,0.5534567434831885,0.13152741514360314,0.08113549426213006,0.347114556416882,0.18549942151947552,0.1557138232437682,0.22937529804482595,0.6680337382960613,0.917330783126129,0.5252814116215394,2647,1161,2097,16435
0486,7435,0.4191123372554053,0.3344855284636766,0.6309336959687162,0.5620712844653665,0.33222591362126247,0.2514367816091954,0.48951048951048953,0.14936954413191075,0.08886324293133295,0.46808510638297873,0.11648351648351649,0.1358974358974359,0.10192307692307692,0.7398631396180165,0.9239795918367347,0.6169306762050758,715,329,520,5871
0488,2813,0.39979243786173546,0.33204445421479445,0.6528002264344708,0.579452541770352,0.3106060606060606,0.24404761904761904,0.4270833333333333,0.10689655172413794,0.06512605042016807,0.2980769230769231,0.16271186440677965,0.12307692307692308,0.24,0.7479633401221996,0.9118559900682806,0.6340094950366854,192,104,200,2317
0509,1174,0.35094402673350045,0.24763602099974252,0.486850735436756,0.39608177172061326,0.2106969205834684,0.12452107279693486,0.6842105263157895,0.07604562737642585,0.045871559633027525,0.2222222222222222,0.1391304347826087,0.25806451612903225,0.09523809523809523,0.5646711012564671,0.9478908188585607,0.40210526315789474,95,45,84,950
0512,836,0.37789725692820886,0.2943862545527236,0.6040138500406698,0.5059808612440191,0.20833333333333334,0.16483516483516483,0.2830188679245283,0.09665427509293681,0.0546218487394958,0.41935483870967744,0.18421052631578946,0.1414141414141414,0.2641509433962264,0.6883468834688347,0.9338235294117647,0.5450643776824035,53,31,53,699
0513,2197,0.43808737789803215,0.3103017200008725,0.5844123403171644,0.49476558944014565,0.244,0.18429003021148035,0.3609467455621302,0.15135135135135136,0.08549618320610687,0.6588235294117647,0.1751412429378531,0.15048543689320387,0.20945945945945946,0.6707142857142857,0.9343283582089552,0.5231197771587743,169,85,148,1795
