variable,label,n,mean,median,std,min,max
entropy,Shannon entropy (Y distribution),290,0.7341672217219436,0.7331709979235581,0.08924929821044679,0.44526119379368345,1.084735223345686
majority_prop,Majority class proportion,290,0.788352971791734,0.7915587878791979,0.04033028048141529,0.5647631315299843,0.8950073855243722
hhi,Herfindahl index,290,0.6400371407603496,0.6421692238391443,0.054560508044035415,0.4059664957938099,0.805131492879569
balanced_accuracy,Balanced accuracy,290,0.4033542431727587,0.40798771631665814,0.023498961519505698,0.3034074134820403,0.4552502219410143
n_test,Test set size (municipality),290,7529.431034482759,3445.5,15779.376670661122,549.0,208293.0
n_obs,Total observations used for entropy,290,25098.09655172414,11466.5,52562.62220399118,1763.0,693901.0
