metric,mean,std,min,q25,median,q75,max
balanced_accuracy,0.4033542431727587,0.023498961519505694,0.30340741348204037,0.38751459196607196,0.4079877163166582,0.4198632434640038,0.4552502219410143
macro_f1,0.32742902538623264,0.027175446609603585,0.22751167824502055,0.3097335185273986,0.3304224629156629,0.3480447690199644,0.38418102455014674
weighted_f1,0.5997724749624344,0.07582448228724972,0.33180344628193176,0.5543616675358012,0.6068662005580194,0.6491210768954183,0.7845432193361667
accuracy,0.5276112536522962,0.08058853640157422,0.27486437613019893,0.4746254478162373,0.5298696493169299,0.580652972994721,0.7349006364462918
n_observations,7529.431034482759,15779.376670661122,549.0,2129.0,3445.5,7590.5,208293.0
