experiment_id,zone,training_size_k,method,seed,balanced_accuracy,macro_f1,weighted_f1,f1_NN,f1_NV,f1_VN,f1_VV,precision_NN,precision_NV,precision_VN,precision_VV,recall_NN,recall_NV,recall_VN,recall_VV,test_n_NN,test_n_NV,test_n_VN,test_n_VV,train_n_NN,train_n_NV,train_n_VN,train_n_VV,sample_time,train_time,eval_time,total_time
12,comparison,200.0,balanced,456.0,0.4228509426520012,0.3513372977661279,0.625608380571708,0.37460162069071007,0.1261850942227795,0.17581999225462588,0.7287424838963961,0.29562922861054464,0.07722489744961655,0.14137579169598874,0.9206484131734124,0.5111455975012645,0.3447632816837959,0.23245413573854334,0.6030407556844009,203623,95451,172847,1711614,50000,50000,50000,50000,0.5400452613830566,113.62655091285706,22.094850063323975,136.29045057296753
13,comparison,400.0,stratified,42.0,0.41820128325696365,0.35554793123949424,0.6411067412099699,0.3739339917223883,0.12379155238617663,0.17573020357453378,0.7487359772748782,0.2953171603560939,0.07829330639274602,0.14053266749895962,0.9157867965404544,0.5095937099443579,0.2955338341138385,0.2344501206269128,0.6332274683427455,203623,95451,172847,1711614,37301,17486,31664,313549,3.2142696380615234,1437.0026326179504,22.32287096977234,1462.5707738399506
14,comparison,400.0,stratified,123.0,0.4188732396542437,0.3546296908371208,0.6398272096482859,0.37030573039400405,0.12646801861590418,0.1742049493767809,0.7475400649617943,0.29255931353556536,0.07908831340080535,0.14235124879817396,0.9162455185887413,0.5043290787386494,0.3154393353657898,0.224423912477509,0.6313006320350266,203623,95451,172847,1711614,37301,17486,31664,313549,3.224280834197998,1459.9125504493713,22.0938618183136,1485.2626712322235
15,comparison,400.0,stratified,456.0,0.4189325907972863,0.35480178609649987,0.6401783263322373,0.3710775381897444,0.12586204309304386,0.17435249807122355,0.7479150650319877,0.29177445841675476,0.07912071326153282,0.14158962877365305,0.9164075483722794,0.5095789768346405,0.3075504709222533,0.2268422361973306,0.6317586792349209,203623,95451,172847,1711614,37301,17486,31664,313549,3.3012781143188477,1422.10653591156,21.965839862823486,1447.3986580371857
16,comparison,400.0,balanced,42.0,0.42798218810086114,0.3564581334487956,0.6314872799294678,0.38382640898638865,0.12927221973457315,0.1779792521816733,0.7347546528925475,0.3064139002021741,0.07900522633476491,0.1443968156766687,0.9212610909641838,0.5135765606046468,0.3553865334045741,0.23191608763820026,0.6110495707560233,203623,95451,172847,1711614,100000,100000,100000,100000,0.701042652130127,1432.781760931015,21.998854875564575,1455.5036735534668
17,comparison,400.0,balanced,123.0,0.42787558321904273,0.35582600306441703,0.6299294172296318,0.3836623688718703,0.1287176950430733,0.17812051344650182,0.7328034348962228,0.3067733069675194,0.07831210364690276,0.14531879280477733,0.9214842128462194,0.5119853847551603,0.3612115116656714,0.23004738294561086,0.6082580535097283,203623,95451,172847,1711614,100000,100000,100000,100000,0.6530497074127197,1444.4656093120575,22.002846479415894,1467.157508134842
18,comparison,400.0,balanced,456.0,0.4279357675165224,0.3564746925514837,0.6324020568288345,0.38287801709351804,0.12964601854488944,0.1772916694763247,0.7360830650912024,0.30461847564463257,0.07928933487954512,0.14496759751072424,0.9209377235365623,0.5152512240758657,0.35529224418811745,0.22816710732613235,0.6130324944759742,203623,95451,172847,1711614,100000,100000,100000,100000,0.6590514183044434,1469.9269618988037,22.034868478775024,1492.6558828353882
19,comparison,800.0,stratified,42.0,0.4244541216918051,0.3573190772199717,0.6385517200398092,0.38070390404387067,0.12779916060595023,0.17639251060400882,0.7443807336260571,0.30249574687235986,0.07919692010584001,0.14384961922911235,0.918882597569327,0.5134537846903345,0.3308189542278237,0.22796461610557314,0.6255791317434889,203623,95451,172847,1711614,74603,34971,63327,627099,3.970336437225342,1897.125574350357,22.50091242790222,1923.6338012218475
20,comparison,800.0,stratified,123.0,0.4248739736333731,0.35742161188747823,0.6379305056765188,0.3803233197323621,0.12832983152917957,0.17754584271959406,0.7434874535687773,0.30268036683598154,0.07951264985365462,0.144111166009687,0.9188155808602765,0.5115433914636363,0.33242187090758607,0.23118133378074252,0.6243492983815276,203623,95451,172847,1711614,74603,34971,63327,627099,3.82031512260437,1893.0471737384796,21.966838598251343,1918.8713319301605
21,comparison,800.0,stratified,456.0,0.4249001274975558,0.35722406085093045,0.6385320943599506,0.3800082055601747,0.12867804890830045,0.17575629229784895,0.7444536966373977,0.3014287647995669,0.07966518759576942,0.14392186813957178,0.9192980136203492,0.5140038207864533,0.3344333741919938,0.22567357258153165,0.6254897424302442,203623,95451,172847,1711614,74603,34971,63327,627099,3.4852921962738037,1857.3381402492523,22.175861120224,1883.0322921276093
22,comparison,800.0,balanced,42.0,0.4313514084626576,0.35984832775037734,0.6353030442960075,0.38908615627279425,0.13089293715026548,0.1807918716232562,0.7386223459551935,0.3122528117432065,0.08000624629999953,0.14750593042848945,0.9216896475487981,0.5160713671834715,0.3596295481451216,0.23347816276822855,0.616226555753809,203623,95451,172847,1711614,200000,200000,200000,200000,0.9810800552368164,1941.7544684410095,22.105855464935303,1964.8684031963348
