,balanced_accuracy,entropy,majority_prop,hhi,n_test
balanced_accuracy,1.0,-0.2579930993207239,0.2516589571663943,0.2542809669416246,0.26067139379491605
entropy,-0.2579930993207239,1.0,-0.9893708012266802,-0.9991077820137754,0.05388949926142564
majority_prop,0.2516589571663943,-0.9893708012266802,1.0,0.9941473437004932,-0.05337648331033479
hhi,0.2542809669416246,-0.9991077820137754,0.9941473437004932,1.0,-0.054685456764935726
n_test,0.26067139379491605,0.05388949926142564,-0.05337648331033479,-0.054685456764935726,1.0
