training_size_k,method,balanced_accuracy,train_time,macro_f1
4000.0,stratified,0.43293048638229575,2596.7369401454926,0.3618106077462679
3000.0,stratified,0.43212882296930083,2528.5629580020905,0.361358085479641
800.0,balanced,0.4314802409097929,1917.754509528478,0.35961717245339564
400.0,balanced,0.4279311796121421,1449.0581107139587,0.35625294302156546
1000.0,stratified,0.42655971768789686,1331.087488969167,0.3583148177594136
200.0,balanced,0.42247319513495496,167.98542920748392,0.35193021012979386
100.0,balanced,0.4152509116826162,32.873406092325844,0.3453929003598444
100.0,stratified,0.39986946053725453,25.950163284937542,0.3478168574553395
