Kommun,n_test,balanced_accuracy,macro_f1,weighted_f1,accuracy,f1_NN,precision_NN,recall_NN,f1_NV,precision_NV,recall_NV,f1_VN,precision_VN,recall_VN,f1_VV,precision_VV,recall_VV,n_NN,n_NV,n_VN,n_VV,kommun,n_obs,entropy,majority_prop,hhi,p_NN,p_NV,p_VN,p_VV,residual_entropy_model
0114,9581,0.3995135908581514,0.3307551644914512,0.5105655065007898,0.436802003966183,0.4257987458942968,0.3469586374695864,0.5510046367851623,0.1230977341900574,0.0748355263157894,0.3466666666666667,0.1727475800446761,0.1309255079006772,0.2538293216630197,0.6013765978367748,0.9205298013245032,0.446553738317757,1294,525,914,6848,0114,31751,0.8809218177189786,0.7218985228811691,0.549732456508678,0.12947623696891436,0.054486472866996316,0.09413876728292023,0.7218985228811691,0.006128165549066922
0115,6878,0.419865649726119,0.3622166872231679,0.7009742707710499,0.6365222448386159,0.3572110792741165,0.3375451263537906,0.3793103448275862,0.1213517665130568,0.0743879472693032,0.3291666666666666,0.1742919389978213,0.1284796573875803,0.2708803611738149,0.7960119641076769,0.922365988909427,0.7001052262364083,493,240,443,5702,0115,22823,0.6425276814824316,0.8277614686938615,0.6957296163001259,0.06992945712658283,0.03671734653638873,0.06559172764316698,0.8277614686938615,0.0102864711123129
0117,8544,0.4447817179527497,0.3617186513794294,0.6722077861269077,0.6107209737827716,0.3998272884283247,0.2877563704164077,0.6548797736916548,0.1131167268351383,0.0703066566940912,0.2892307692307692,0.1645569620253164,0.1538461538461538,0.1768707482993197,0.7693736282289381,0.9258431531897604,0.6581455805892548,707,325,588,6924,0117,29007,0.6912481310975447,0.8077360637087599,0.6658757037293417,0.08222153273347813,0.03737028993001689,0.07267211362774503,0.8077360637087599,0.03851204583275858
0120,9402,0.4242573185673429,0.3496600248436595,0.6708944970205135,0.5982769623484365,0.371224601867106,0.2908777969018933,0.5128983308042488,0.1136767317939609,0.0676890534108937,0.3545706371191136,0.1467425679949399,0.1254054054054054,0.1768292682926829,0.7669961977186311,0.9297566371681416,0.6527310380533264,659,361,656,7726,0120,31201,0.6533703503047488,0.8237556488574084,0.6895717856580816,0.07038235953975834,0.03807570270183648,0.06778628890099676,0.8237556488574084,0.015414666056255966
0123,16287,0.3954316229795815,0.3390525677115235,0.5699072754989878,0.4968993675937864,0.4035608308605341,0.3198494825964252,0.5466237942122186,0.0939884040280744,0.0619219943707277,0.1949367088607595,0.1828040278853601,0.1301350978770333,0.3070917371502927,0.675857008072125,0.9231099656357388,0.5330742516950554,1866,790,1537,12094,0123,54180,0.8443772569892217,0.7399409376153562,0.5723544469367179,0.11360280546327058,0.048615725359911405,0.09784053156146179,0.7399409376153562,-0.0004362190970861324
0125,5717,0.449320904669692,0.368628713006001,0.7397456982723014,0.6786776281266399,0.3897316219369895,0.3030852994555354,0.545751633986928,0.1147715196599362,0.0698576972833117,0.3214285714285714,0.1459694989106753,0.1157167530224525,0.1976401179941003,0.8240422115164029,0.9417933927635028,0.732463295269168,306,168,339,4904,0125,19021,0.5550148398156194,0.859260816991746,0.7454420761310024,0.054150675569107826,0.028599968455917144,0.05798853898322906,0.859260816991746,0.03379711101073507
0126,22508,0.4350400434694701,0.3662012331713431,0.6008968648342383,0.5464279367336058,0.460192286918008,0.3375059420060212,0.7230142566191446,0.1235792519115519,0.0809859154929577,0.2606800348735832,0.1684060721062618,0.1611438946890603,0.1763537009438648,0.7126273217495507,0.9236070665890118,0.5801121814412876,2946,1147,2013,16402,0126,75190,0.8614610905913914,0.7298443942013566,0.5602863018775099,0.13129405506051336,0.05027264263864876,0.08858890809948132,0.7298443942013566,0.04033268038452542
0127,18040,0.3868560594797752,0.3174704192650087,0.4207512334848808,0.3859756097560975,0.4788510722014558,0.3561082662765179,0.730711498048634,0.118288956787429,0.0803915752002373,0.2237819983484723,0.1936997319034852,0.1514675052410901,0.2685873605947955,0.4790419161676646,0.9158785465405674,0.324343380927199,3331,1211,2152,11346,0127,60383,1.0409304238292751,0.6254574963151881,0.44575799383581893,0.1899706871139228,0.06546544557242932,0.11910637099845983,0.6254574963151881,0.004339776905860349
0128,3397,0.4296838117968005,0.3373860932898065,0.6105602905727444,0.5366499852811304,0.3336547733847637,0.2309746328437917,0.6006944444444444,0.1241379310344827,0.0831408775981524,0.2448979591836734,0.1867321867321867,0.1342756183745583,0.3064516129032258,0.7050194820077929,0.9326864766525168,0.5666912306558585,288,147,248,2714,0128,11379,0.7278032191289712,0.7934792160998331,0.6449138453535664,0.08867211530011425,0.043149661657439144,0.07469900694261358,0.7934792160998331,0.025897271548081247
0136,18586,0.4214916195730176,0.3606907254725707,0.5733198060487117,0.5178091036263854,0.479137244832456,0.3640975609756097,0.7004504504504504,0.1005552128315854,0.0692144373673036,0.1837655016910935,0.1864573110893032,0.1442015786278081,0.2637423653525819,0.6766131331369382,0.9114183307731696,0.5380081607979447,2664,887,1801,13234,0136,61921,0.8897195388426662,0.7130537297524264,0.5404035774677802,0.14222961515479401,0.04728605804169829,0.09743059705108122,0.7130537297524264,0.028703810160740972
0138,9884,0.4407577823336849,0.3648825447509445,0.665821547512058,0.5952043707001214,0.3994053518334985,0.3200953137410643,0.530961791831357,0.1147327249022164,0.0733333333333333,0.2634730538922156,0.1864661654135338,0.1301837270341207,0.3284768211920529,0.7589259368545294,0.9318840579710144,0.640119462419114,759,334,755,8036,0138,33479,0.6778997044679363,0.8123002479166045,0.672833860121594,0.0786463156008244,0.03366289315690433,0.07539054332566683,0.8123002479166045,0.03358137177096815
0139,5902,0.411600218292856,0.3358746001623922,0.5800172392847848,0.5162656726533379,0.3793410507569011,0.2723785166240409,0.624633431085044,0.1345480028030834,0.0846560846560846,0.3276450511945392,0.135593220338983,0.1345794392523364,0.1366223908918406,0.6940161267506012,0.9190708130385912,0.5575,682,293,527,4400,0139,19584,0.8336515367761062,0.7449448529411765,0.578941435493894,0.11662581699346405,0.049019607843137254,0.08940972222222222,0.7449448529411765,0.015003794255706249
0140,2197,0.4304017805958948,0.3360736217674449,0.6739518414137876,0.5989986345015931,0.313953488372093,0.2727272727272727,0.3698630136986301,0.1496815286624203,0.086080586080586,0.573170731707317,0.1129568106312292,0.103030303030303,0.125,0.7677026594040371,0.9301242236024844,0.6535733769776323,146,82,136,1833,0140,7621,0.6196862557769514,0.8365043957485894,0.7092124588029047,0.07006954467917596,0.036740585225036086,0.05668547434719853,0.8365043957485894,0.01927101846228413
0160,13949,0.4552502219410143,0.3752805864441216,0.7376182429622524,0.6815542332783712,0.3833205814843152,0.2864493996569468,0.5791907514450867,0.1050808314087759,0.0670103092783505,0.2433155080213903,0.1875248311481923,0.1454097350585335,0.2639821029082774,0.8251961017352032,0.9414253172795314,0.7345125253893027,865,374,894,11816,0160,46463,0.5882709966845059,0.8465445623399264,0.7253139504445283,0.061597400081785506,0.027720982286981038,0.06413705529130706,0.8465445623399264,0.0419854687463056
0162,6733,0.4310863267056364,0.3704529722558698,0.7586266513610074,0.7026585474528442,0.3462603878116344,0.3306878306878307,0.3633720930232558,0.1290322580645161,0.085201793721973,0.2657342657342657,0.1689059500959693,0.1126279863481228,0.3375959079283887,0.8376132930513596,0.9364576736331012,0.7576430401366353,344,143,391,5855,0162,22202,0.5239533090976884,0.8690658499234303,0.7616328016408632,0.049184758129898205,0.02360147734438339,0.05814791460228808,0.8690658499234303,0.01345257021934676
0163,14660,0.4234318581609626,0.3694014626725053,0.6767327915964473,0.6152114597544338,0.3939919121894858,0.3238366571699905,0.5029498525073747,0.1240780911062906,0.08451536643026,0.233278955954323,0.1735370423753243,0.1262583892617449,0.2774193548387096,0.7859988050189205,0.9309978768577496,0.6800792693434431,1356,613,1085,11606,0163,48886,0.7260014606161402,0.7936832631019106,0.6453792618762157,0.0909871946978685,0.041586548296035676,0.07374299390418525,0.7936832631019106,0.019522927180105065
0180,208293,0.4383442062028755,0.3725930619123681,0.6624031455856169,0.6035152405505706,0.4309774537599568,0.3258894390281251,0.6360964431603069,0.1111439900574066,0.0746719681908548,0.2172605275335492,0.178305961804109,0.1408284843446938,0.2429638482222886,0.769944842028,0.9296718192007924,0.6570560058953574,20074,8644,16735,162840,0180,693901,0.7510304159187295,0.782310444861731,0.6294285460624669,0.09632642120417755,0.04098855600438679,0.08037457792970466,0.782310444861731,0.036135454320562865
0181,19856,0.3835889393160171,0.3158943980647188,0.4374516830147116,0.4017929089443997,0.4941637556445429,0.3744351194318915,0.7264529058116233,0.1415325879465503,0.088400613183444,0.3547505126452495,0.1167400881057268,0.1447098976109215,0.097831102907245,0.5111411605620554,0.9103664921465968,0.3553212358999509,3992,1463,2167,12234,0181,66135,1.0515296084425736,0.6183563922280184,0.43949701203226366,0.2004536176003629,0.07422696000604824,0.10696303016557042,0.6183563922280184,0.0017926433305670564
0182,21286,0.422982707612816,0.3651235957545211,0.7003930828817843,0.6395283284788124,0.397324414715719,0.3104529616724739,0.551702786377709,0.0869847452125933,0.0573384681215233,0.1801075268817204,0.1742900498590938,0.1314154952598888,0.2586872586872586,0.8018951732306782,0.9359447004608294,0.701433258504576,1615,744,1554,17373,0182,71147,0.6735434431848986,0.8146794664567726,0.6762088121521354,0.07695335010611831,0.03530718090713593,0.07306000252997315,0.8146794664567726,0.01551038280630912
0183,9937,0.4117527430928513,0.3486361822226191,0.576195426983081,0.50155982690953,0.4157075152335815,0.3430167597765363,0.5274914089347079,0.1271551724137931,0.0777680140597539,0.3484251968503937,0.1689683184402924,0.1336760925449871,0.2295805739514348,0.6827137228028096,0.9235225955967556,0.5415137926348689,1164,508,906,7359,0183,33890,0.8509926976413301,0.7372676305694895,0.5688317984321031,0.11903216287990558,0.052168781351431104,0.0915314251991738,0.7372676305694895,0.016334277899413607
0184,17511,0.4286279288945286,0.3627092892278277,0.6255584106134434,0.5543943806750042,0.4164627363737486,0.3458980044345898,0.5231973169368362,0.1246636771300448,0.0753796095444685,0.3601036269430052,0.1781914893617021,0.1474471830985915,0.2251344086021505,0.7315192540458152,0.9224420576596948,0.6060763630961225,1789,772,1488,13462,0184,58399,0.778966180952476,0.7699960615763969,0.6123848004234802,0.10323806914501961,0.04340827753899896,0.08335759173958458,0.7699960615763969,0.02831681130170316
0186,10034,0.4374455328691949,0.3575686995669624,0.7080439292617443,0.6378313733306757,0.3759312320916905,0.3000914913083257,0.5030674846625767,0.1044701155198392,0.0610328638497652,0.3623693379790941,0.1502021952628538,0.1240458015267175,0.1903367496339678,0.7996712553934662,0.9432864760058168,0.6940085592011412,652,287,683,8412,0186,32983,0.6152157935031094,0.8369463056726192,0.7101897839235212,0.06530636994815511,0.03059151684200952,0.06715580753721614,0.8369463056726192,0.026011098991121417
