model,dependent_var,predictors,intercept,coef_entropy,coef_log_n_test,p_entropy,ci_entropy_low,ci_entropy_high,r2,n_obs,p_log_n_test,ci_log_low,ci_log_high
model1_entropy,balanced_accuracy,entropy,0.45322511273635024,-0.06792848834441652,,8.584970676669181e-06,-0.09743159209820229,-0.03842538459063074,0.06656043929711297,290,,,
model2_log_n_test,balanced_accuracy,log(n_test),0.3050109019588924,,0.011809751608369041,,,,0.2388551562021668,290,8.117895802427354e-19,0.009364701001294022,0.01425480221544406
model3_entropy_log_n_test,balanced_accuracy,entropy + log(n_test),0.351240637250428,-0.058235106204565096,0.011392397930562842,1.3687172733821725e-05,-0.08413596242094294,-0.03233424998818725,0.28747635201733046,290,1.4130510889204439e-18,0.009015318392844533,0.013769477468281152
